/home/david/Descargas/OpenS Demo/OpenS/backend-ia/main.py:24: FutureWarning: 

All support for the `google.generativeai` package has ended. It will no longer be receiving 
updates or bug fixes. Please switch to the `google.genai` package as soon as possible.
See README for more details:

https://github.com/google-gemini/deprecated-generative-ai-python/blob/main/README.md

  import google.generativeai as genai  # type: ignore
INFO:     Started server process [74128]
INFO:     Waiting for application startup.
INFO:     127.0.0.1:60734 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:60750 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:60762 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:60766 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:48428 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:48444 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:48450 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:48464 - "GET /api/v1/patients HTTP/1.1" 200 OK
INFO:     127.0.0.1:48470 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:48482 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:48498 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:41282 - "GET /api/v1/patients/1/records HTTP/1.1" 200 OK
INFO:     127.0.0.1:41290 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:55150 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:55160 - "GET /api/v1/patients HTTP/1.1" 200 OK
INFO:     127.0.0.1:55162 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:55166 - "GET /api/v1/patients/1/records HTTP/1.1" 200 OK
INFO:     127.0.0.1:41806 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:41810 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
INFO:     127.0.0.1:41826 - "GET /api/v1/patients HTTP/1.1" 200 OK
INFO:     127.0.0.1:41836 - "GET /api/v1/connectivity HTTP/1.1" 200 OK
